WS,,,,,,,,CS,,,,,,,,,,,,,,CSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject,Session,CSP,FBCSP,FBCNet,eegNet,deep ConvNets,,"       Session
Subject",eegNet,,,,deep ConvNets,,,,FBCNet,,,,,"     Session
Subject  ",0%,,,,,30%,,,,,50%,,,,,70%,,,,,90%,,,,,100%,,,,
4,1,0.433,0.649,0.483,0.549,0.567,,15,0.589,0.482,0.526,0.643,0.547,0.365,0.537,0.469,0.463,0.494,0.463,0.51,,15,0.5,0.506,0.463,0.506,0.511,0.6,0.548,0.411,0.548,0.592,0.65,0.588,0.49,0.578,0.653,0.62,0.62,0.565,0.64,0.582,0.62,0.673,0.593,0.694,0.683,0.62,0.557,0.588,0.548,0.591
,2,0.582,0.641,0.659,0.688,0.578,,16,0.55,0.58,0.516,0.571,0.53,0.54,0.526,0.56,0.55,0.5,0.495,0.473,,16,0.49,0.53,0.5,0.524,0.517,0.45,0.63,0.76,0.554,0.638,0.7,0.66,0.77,0.596,0.628,0.64,0.67,0.73,0.66,0.78,0.46,0.67,0.66,0.831,0.802,0.57,0.88,0.78,0.704,0.833
,3,0.539,0.553,0.571,0.639,0.66,,17,0.38,0.551,0.52,0.453,0.37,0.582,0.59,0.484,0.5,0.5,0.53,0.442,,17,0.76,0.55,0.521,0.54,0.506,0.72,0.58,0.61,0.57,0.64,0.82,0.61,0.642,0.62,0.662,0.86,0.65,0.659,0.72,0.659,0.81,0.68,0.588,0.61,0.641,0.92,0.67,0.623,0.61,0.8
,4,0.56,0.51,0.58,0.68,0.55,,18,0.52,0.35,0.45,0.51,0.55,0.36,0.45,0.44,0.5,0.49,0.54,0.49,,18,0.489,0.78,0.54,0.69,0.71,0.484,0.81,0.7,0.72,0.78,0.601,0.77,0.8,0.85,0.84,0.751,0.8,0.69,0.85,0.85,0.692,0.87,0.9,0.8,0.85,0.844,0.86,0.87,0.93,0.88
,5,0.59,0.77,0.78,0.54,0.79,,19,0.621,0.521,0.533,0.473,0.495,0.553,0.533,0.613,0.495,0.521,0.489,0.473,,19,0.602,0.587,0.51,0.543,0.606,0.689,0.714,0.819,0.682,0.757,0.741,0.683,0.883,0.75,0.676,0.634,0.706,0.947,0.761,0.809,0.729,0.706,0.98,0.764,0.618,0.833,0.909,0.98,0.631,0.909
5,1,0.522,0.62,0.542,0.548,0.532,,20,0.4,0.48,0.7,0.52,0.58,0.55,0.64,0.46,0.64,0.48,0.8,0.54,,20,0.833,0.95,0.5,1,0.92,0.856,0.99,0.47,0.99,0.98,0.807,0.99,0.53,1,1,0.789,0.99,0.68,0.99,1,0.989,0.99,0.71,0.99,1,0.978,0.98,0.55,0.99,1
,2,0.95,0.96,0.98,0.94,0.93,,21,0.586,0.785,0.7,0.615,0.566,0.785,0.65,0.719,0.606,0.495,0.54,0.615,,21,0.832,0.574,0.557,0.79,0.592,0.892,0.668,0.828,0.84,0.853,0.881,0.678,0.859,0.88,0.861,0.936,0.658,0.924,0.91,0.914,0.904,0.856,0.904,0.92,0.916,0.97,0.709,0.98,0.98,0.874
,3,0.57,0.694,0.58,0.493,0.561,,22,0.64,0.49,0.52,0.516,0.63,0.51,0.52,0.473,0.5,0.5,0.43,0.484,,22,0.506,0.61,0.61,0.78,0.664,0.593,0.89,0.6,0.93,0.592,0.704,0.86,0.7,0.95,0.618,0.446,0.91,0.73,0.96,0.613,0.658,0.81,0.81,0.94,0.581,0.493,0.95,0.85,0.99,0.809
,4,0.607,0.616,0.677,0.587,0.477,,23,0.457,0.606,0.63,0.608,0.543,0.535,0.52,0.546,0.511,0.525,0.55,0.495,,23,0.741,0.811,0.799,0.5,0.702,0.789,0.8,0.806,0.92,0.794,0.813,0.852,0.847,0.93,0.844,0.883,0.853,0.837,0.91,0.886,0.867,0.877,0.858,0.95,0.866,0.918,0.877,0.828,0.94,0.908
,5,0.517,0.463,0.528,0.472,0.563,,24,0.549,0.59,0.48,0.42,0.451,0.566,0.48,0.48,0.537,0.482,0.52,0.52,,24,0.543,0.596,0.6,0.438,0.49,0.584,0.681,0.66,0.593,0.56,0.575,0.722,0.758,0.683,0.57,0.727,0.685,0.774,0.632,0.53,0.605,0.81,0.757,0.742,0.8,0.62,0.644,0.91,0.727,0.6
